Acteurs;Rôle/Positions adoptées;Importance relative;Productions;Formes de légitimité, types d'intérêt, de stratégie et de justification;Dates importantes
Office parlementaire d’évaluation des choix scientifiques et technologiques (OPECST); - Intermédiaire entre le monde politique et le monde de la recherche, assisté d'un conseil scientifique                                                                  - Structure originale commune à l'Assemblée Nationale et au Sénat, dont les membres sont désignés afin d'assurer une représentation proportionnelle des groupes politiques;Important du fait que l'Office apporte une expertise technique par l'intermédiaire de ses rapports. Mais l'assemblée nationale reste globalement passive; - Rapport : Pour une intelligence artificielle maîtrisée, utile et démystifiée (15/03/2017)                                                             - Rapport: L'interaction des sciences humaines et sociales avec les sciences technologiques et les sciences du vivant (29/06/2016)                                                              - Rapport: Les robots et la loi (7/03/2016); - structure du Parlement: pouvoir législatif; - Tables rondes dans le cadre des trois rapports ( 7/03/2016, 29/06/2017 et 15/03/2017)
Commission des Affaires juridiques du Parlement européen (JURI);"- ""Compétente dans le domaine de la propriété intellectuelle, la commission se penchera, au cours de cette législature, sur la réforme des règles régissant les marques dans l'Union, les secrets d'affaires et l'avenir du droit d'auteur, dans le prolongement de ses précédents travaux sur la gestion des droits numériques et le droit d'auteur dans la société de l'information.""  http://www.europarl.europa.eu/committees/fr/JURI/home.html                                                                   - Cherche à soutenir les PME et les jeunes entreprises                                                                      - Pense que les règles d'Asimov doivent être prises en compte                                                                - Souhaiterait établir un système d'immatriculation de tous les robots";Rôle capital dans la régulation dans le cadre de l'Union européenne, d'autant plus que ses rapports prennent en compte l'avis des autres commissions;- Le groupe de travail sur les questions juridiques liées au développement de la robotique et de l'IA a établi des  recommandations à la Commission concernant des règles de droit civil sur la robotique le 27/01/2017; - légitimité découlant des prérogatives du Parlement européen: pouvoir législatif européen;-20 janvier 2015: Etablissement d'un groupe de travail sur les questions juridiques liées au développement de la robotique et de l'intelligence artificielle (IA) dans l'Union européenne                       -recommandations faites le 27/01/2017 établissant un code de conduite éthique pour les ingénieurs en robotique, un code de déontologie pour les comités ethiques de la recherche, une licence pour les concepteurs et une licence pour les utilisateurs
Commission de l'industrie, de la recherche et de l'énergie (ITRE); - permettre au secteur industriel européen de devenir plus innovant, adapter et mobiliser les programmes de R&D et d'éducation de l'Union européenne pour répondre efficacement aux besoins réels de l'industrie                                                                   - Position: la robotique et l'IA sont indispensables à la compétitivité et au développement économique                                                                     - met en garde contre d'éventuels droits de propriété intellectuelle freinant l'innovation;Rôle capital dans la régulation au vu de son implication dans l'industrie, acteur majeur du débat; -  Participation (en 2016) aux recommandations rédigées par le groupe de travail mis en place par la commission des Affaires juridiques au Parlement européen; - légitimité découlant des prérogatives du Parlement européen: pouvoir législatif européen; - A approuvé les recommandations établies par le groupe de travail sur les questions juridiques liées au développement de la robotique et de l'IA le 15/11/2016
Commission de l'environnement, de la santé publique et de la sécurité alimentaire (ENVI); - Comité législatif responsable d'un grand nombre de domaines politiques tels que les déchets et le management des ressources, la qualité de l'air et de l'eau, ou la protection de la biodiversité                                                                       - Reconnaît les problèmes écologiques liés à la robotique, mais considère nécessaire la présence de robots dans le domaine médical;L'environnement est un facteur important dans le débat, et les robots médicaux font partie intégrante de la controverse, ce qui fait de cette commission un acteur majeur du débat; -  Participation (en 2016) aux recommandations rédigées par le groupe de travail mis en place par la commission des Affaires juridiques au Parlement européen; - légitimité découlant des prérogatives du Parlement européen: pouvoir législatif européen; - A approuvé à l'unanimité les recommandations établies par le groupe de travail sur les questions juridiques liées au développement de la robotique et de l'IA le 14/10/2016
Commission Nationale de l'Informatique et des libertés;  - Rôle: protéger les professionnels et les particuliers dans le cadre de données personnelles, analyser les impacts des innovations technologiques et des usages émergeants sur la vie privée et les libertés;Rôle moins important mais à prendre en compte, puisque la CNIL analyse les conséquences sur la société; - Rapport sur les algorithmes, l'inteligence artificielle et l'ethique suite à la loi pour une République numérique du 7/10/2016; - autorité administrative indépendante                                              - Travaille avec ses homologues européens afin de mettre en place une régulation harmonisée; - le 23/01/2017, lance une série de débats publics sur le thème des algorithmes
Fédération Française des Sociétés d'assurances (FFSA); - représentant d'intérêts auprès de l'Assemblée Nationale et de la Commission européenne                                                                          - Missions: Préserver l’ensemble du champ économique et social en relation avec les activités assurantielles, représenter l'assurance auprès des pouvoirs politiques                                                                          - Pas d'assurances tant que la question de la responsabilité n'est pas régulée;Acteur important dans le cadre de la responsabilité, thème majeur du débat;/; - Représente 90% du marché des assurances en France et presque la totalité de l'activité internationale des entreprises du marché des assurances;" - Participation à une des tables rondes organisées par l'OPECST en ce qui concerne  ""Les Robots et la Loi"""
BPIFrance;- Elle accompagne la politique industrielle nationale, notamment pour soutenir les stratégies de développement de filières. Elle participe au développement des secteurs d'avenir, de la conversion numérique et de l'économie sociale et solidaire.                                - Position: cherche à encourager les investissements des PME et des ETI dans l'acquisition de robots les rendant plus compétitives;Acteur moins important, car non spécifique au sujet des robots intelligents; - A mis en place des lignes de crédit pour la filière robotique            ; - banque publique créée par décision du Conseil des Ministres (donc légitimée par le pouvoir exécutif); - Actions de prêts robotiques entre le 29/09/2014 et le 31/12/2016
Conseil des Ministres; - Cherche à développer l'activité de production industrielle en proposant des lois;Capital du fait qu'il propose les lois; - Loi n° 2012-1559 du 31 décembre 2012 relative à la création de la Banque publique d'investissement                                                               - Loi pour une République numérique (7/10/2016); - pouvoir exécutif;
Centre National de Recherche Scientifique (CNRS); - En tant que centre de recherche, pousse vers l'innovation dans l'industrie et les services, et est donc en faveur des robots humanoïdes;Acteur principal de la controverse puisqu'il produit des robots;" - Robots humanoïdes tel que Pyrène                                            - articles sur la relation homme-machine, tel que ""Comment les humains s’attachent aux robots"" (16/01/2017) ou ""Quel avenir pour la robotique de service?"" (28/07/2014)"; - lieu de production du savoir;" - Participation à une des tables rondes organisées par l'OPECST en ce qui concerne  ""Les Robots et la Loi"""
Institut des Systèmes Intelligents et Robotiques (ISIR); - Centre de recherche spécialisé dans la robotique, pousse vers l'innovation dans l'industrie et les services, et est donc en faveur des robots humanoïdes;Acteur principal de la controverse puisqu'il produit des robots;" - Robots humanoïdes dans de nombreux domaines (médecine, robot compagnon...) tel que iCub, une plateforme dans le domaine de l'apprentissage: Humanoïde Interactive                                                            - articles tels que ""Quels progrès en trente siècles d'humanoïdes?"""; - lieu de production du savoir;" - Participation à une des tables rondes organisées par l'OPECST en ce qui concerne  ""L'interaction des sciences humaines et sociales avec les sciences technologiques et les sciences du vivant"""
