URL;Date;Type d'Url;Type d'acteurs;Thème;Position;Poids;Lu en détail
http://spectrum.ieee.org/automaton/robotics/humanoids/why-we-should-build-humanlike-robots;01/04/2011;Blog;Constructeur;Pourquoi construire des robots humanoides;On doit investir dans la recherche, il faut que les robots possèdent nos valeurs;;Oui
http://www.wired.co.uk/article/humanoid-robots;30/03/2011;Wired;Journaliste;Il n'y a aucun interet de faire des robots humanoides;A part pour la recherche construire des androids ne sert à rien;;Oui
http://www.livescience.com/27204-human-robot-relationships-turkle.html;18/02/2013;Livescience;Scientifique;Relation homme / robot;On doit avoir peur;;Non
http://www.begeek.fr/sophia-robot-humanoide-fascinant-quinquietant-197526;26/03/2016;BeGeek;Journaliste;Sophia : robot humanoide et inquiétant;Pas de position;;Oui
http://www.futura-sciences.com/tech/dossiers/robotique-robots-humanoides-notre-service-283/;09/09/2016;FuturaTech;Journaliste;Liste des robots;Pas de position;;Oui
https://www.quora.com/Why-do-humans-want-to-make-robots-that-look-like-humans;2014;Quora;Personne;Pourquoi ?;Face à la vallée de l'étrange pourquoi vouloir construire des robots, peut être que les nouvelles générations ne ressentirons pas la vallée de l'étrange, il faut marquer une séparation entre robots et humains, narcissisme;;Oui
https://www.quora.com/Why-are-we-making-robots-that-look-and-move-like-humans-would-it-not-be-better-to-make-them-different-and-do-what-we-cant#;2016;Quora;Personne;Pourquoi faire des robots qui nous ressemblent et pas mieux;On devrait essayer de trouver de nouvelles méthodes de déplacement plutôt que de copier les humains, robots humanoides peuvent s'adapter à nos outils;;Oui
https://www.quora.com/If-a-robot-could-make-a-better-president-prime-minister-than-any-human-would-you-vote-for-it;2015;Quora;Personne;Robot président ?;Cela dépend l'intelligence artificielle qui le dirige, problème de qui l'a programmé;;Oui
http://www.cs.bath.ac.uk/~jjb/web/ai.html;03/03/2017;Blog;Dev IA;Les robots et l'ia;"Pas dangeureux, ""robot esclaves""";;Non
https://www.brookings.edu/research/how-humans-respond-to-robots-building-public-policy-through-good-design/;29/07/2014;Edito;PhD;Relation homme / robot;La politique doit intervenir pour faciliter et securiser l'arrivé des robots dans nos vies;;Non
http://empathicologue.over-blog.com/2014/11/l-homme-a-t-il-le-pouvoir-de-creer-le-robot-a-son-image.html;25/12/2014;Blog;Personne;L'HOMME A-T-IL LE POUVOIR DE CRÉER LE ROBOT À SON IMAGE ?;Répétition de Dieu créa l'homme à son image;;Oui
http://www.imdb.com/title/tt2209764/;2014;Film;;Relation homme / robot;Comment distinguer un homme et une IA : les dangers que cela peut représenter mais aussi les avantages que l'on a tendance à éliminer par peur du danger;;Oui
https://sites.google.com/site/iatpe2011/iii-domaines-importants-d-applications/3-ia-pour-ou-contre;;Blog;Personne;L'intelligence articifielle;Pour mais souligne les limites et les dangers;;Non
http://www.journaldunet.com/web-tech/expert/63828/8-points-clefs-souvent-occultes-dans-les-debats-sur-l-intelligence-artificielle-en-france.shtml;17/03/2016;JournalDuNet;Journaliste?;Intelligence artificielle;Clarification de bon nombres de point, pour un dev de l'ia;;Oui
https://www.contrepoints.org/2017/02/21/281643-intelligence-artificielle-meilleure-pire-chose-lhumanite;21/02/2017;Blog?;Juriste?;Intelligence artificielle;Pessimiste, Peur;;Non
http://clesnes.blog.lemonde.fr/2015/03/17/faut-il-avoir-peur-des-machines-la-silicon-valley-debat/;17/03/2015;Journal;Top 100;Intelligence artificielle;Il faut contrôler l'intellegence artificielle, énorme problème, necessite avoir un débat national;;Non
http://www.pseudo-sciences.org/spip.php?article2525;juil-15;Blog;Personne;Intelligence artificielle;Manque de débat en France, France moins pessimiste que USA;;Oui
http://www.madmoizelle.com/homme-creature-peur-des-robots-242550;28/03/2014;Journal?;Journaliste?;Peur des robots;Anti robot;;Non
http://www.20minutes.fr/culture/1779095-20160203-quatre-bonnes-raisons-avoir-peur-robots;03/02/2016;Journal;Journaliste;Peur des robots;Anti robot;;Oui
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
