URL;Date;Type d'Url;Type d'acteurs;Thème;Position;Poids;Lu en détail;Resumé
http://spectrum.ieee.org/automaton/robotics/humanoids/why-we-should-build-humanlike-robots;01/04/2011;Blog;Constructeur;Construction, Societé;Pro;;Oui;On doit investir dans la recherche, il faut que les robots possèdent nos valeurs
http://www.wired.co.uk/article/humanoid-robots;30/03/2011;Blog;Journaliste;Recherche, Société;Neutre;;Oui;A part pour la recherche construire des androids ne sert à rien
http://www.livescience.com/27204-human-robot-relationships-turkle.html;18/02/2013;Livescience;Scientifique;Société;Contre;;Non;On doit avoir peur
http://www.begeek.fr/sophia-robot-humanoide-fascinant-quinquietant-197526;26/03/2016;BeGeek;Journaliste;Société;Neutre;;Oui;Pas de position
http://www.futura-sciences.com/tech/dossiers/robotique-robots-humanoides-notre-service-283/;09/09/2016;FuturaTech;Journaliste;Construction, Recherche;Neutre;;Oui;Pas de position
https://www.quora.com/Why-do-humans-want-to-make-robots-that-look-like-humans;2014;Forum;Citoyen;Société;Pro;;Oui;Face à la vallée de l'étrange pourquoi vouloir construire des robots, peut être que les nouvelles générations ne ressentirons pas la vallée de l'étrange, il faut marquer une séparation entre robots et humains, narcissisme
https://www.quora.com/Why-are-we-making-robots-that-look-and-move-like-humans-would-it-not-be-better-to-make-them-different-and-do-what-we-cant#;2016;Forum;Citoyen;Construction, Recherche;Pro;;Oui;On devrait essayer de trouver de nouvelles méthodes de déplacement plutôt que de copier les humains, robots humanoides peuvent s'adapter à nos outils
https://www.quora.com/If-a-robot-could-make-a-better-president-prime-minister-than-any-human-would-you-vote-for-it;2015;Forum;Citoyen;Société;Neutre;;Oui;Cela dépend l'intelligence artificielle qui le dirige, problème de qui l'a programmé
http://www.cs.bath.ac.uk/~jjb/web/ai.html;03/03/2017;Blog;Scientifique;Recherche, Société;Pro;;Non;"Pas dangeureux, ""robot esclaves"""
https://www.brookings.edu/research/how-humans-respond-to-robots-building-public-policy-through-good-design/;29/07/2014;Edito;Scientifique;Société;Pro;;Non;La politique doit intervenir pour faciliter et securiser l'arrivé des robots dans nos vies
http://empathicologue.over-blog.com/2014/11/l-homme-a-t-il-le-pouvoir-de-creer-le-robot-a-son-image.html;25/12/2014;Blog;Religieux;Société, Spirituel;Contre;;Oui;Répétition de Dieu créa l'homme à son image
http://www.imdb.com/title/tt2209764/;2014;Film;Artiste;Société;Neutre;;Oui;Comment distinguer un homme et une IA : les dangers que cela peut représenter mais aussi les avantages que l'on a tendance à éliminer par peur du danger
https://sites.google.com/site/iatpe2011/iii-domaines-importants-d-applications/3-ia-pour-ou-contre;;Blog;Citoyen;Recherche;Pro;;Non;Pour mais souligne les limites et les dangers
http://www.journaldunet.com/web-tech/expert/63828/8-points-clefs-souvent-occultes-dans-les-debats-sur-l-intelligence-artificielle-en-france.shtml;17/03/2016;Journal;Journaliste;Recherche;Neutre;;Oui;Clarification de bon nombres de point, pour un dev de l'ia
https://www.contrepoints.org/2017/02/21/281643-intelligence-artificielle-meilleure-pire-chose-lhumanite;21/02/2017;Blog;Juriste;Recherche, IA;Contre;;Non;Pessimiste, Peur
http://clesnes.blog.lemonde.fr/2015/03/17/faut-il-avoir-peur-des-machines-la-silicon-valley-debat/;17/03/2015;Journal;Scientifique, Constructeur;Recherche, IA;Neutre;;Non;Il faut contrôler l'intellegence artificielle, énorme problème, necessite avoir un débat national
http://www.pseudo-sciences.org/spip.php?article2525;juil-15;Blog;Citoyen;Société;Neutre;;Oui;Manque de débat en France, France moins pessimiste que USA
http://www.madmoizelle.com/homme-creature-peur-des-robots-242550;28/03/2014;Journal;Journaliste;Recherche, Société;Contre;;Non;Anti robot
http://www.20minutes.fr/culture/1779095-20160203-quatre-bonnes-raisons-avoir-peur-robots;03/02/2016;Journal;Journaliste;Société;Contre;;Oui;Anti robot
http://www.imdb.com/title/tt2290780/;11/02/2013;Serie;Artiste;Société, IA;Neutre;;Oui;Mettre en lumière la contreverse
http://www.huffingtonpost.co.uk/daniel-m-swain/what-be-right-back-says-about-us-_b_2665568.html;;;;;;;;
http://blog.economie-numerique.net/2016/09/07/le-futur-homme-connecte-4-0-le-robot-humanoide-1ere-partie/;;;;;;;;
http://www.lemonde.fr/economie/article/2017/03/31/shiseido-embauche-ses-premiers-robots-humanoides_5104041_3234.html;;;;;;;;
http://blogs.economie.gouv.fr/les-cafes-economiques-de-bercy/robotique-enjeux-economie/;;;;;;;;
https://www.scriptol.fr/robotique/economie.php;;;;;;;;
https://www.challenges.fr/economie/les-robots-vont-ils-detruire-des-emplois_11323;;;;;;;;
http://www.la-croix.com/Actualite/Economie-Entreprises/Economie/Les-robots-vont-ils-nous-mettre-tous-au-chomage-2015-11-15-1380585;;;;;;;;
http://www.maxisciences.com/robot/jia-jia-le-robot-humanoide-ultra-realiste-devoile-par-des-chercheurs-chinois_art37668.html;;;;;;;;
http://www.universcience.tv/video-japon-au-pays-des-robots-humanoides-5740.html;;;;;;;;
http://archives-lepost.huffingtonpost.fr/article/2009/03/13/1455555_pour-la-premiere-fois-un-robot-remplace-un-professeur-au-japon.html;;;;;;;;
